id_ets_seo_redirect;name;url;target;type;active;id_shop
40;;pmma-coule-transparent-colore-altuglas-16/pmma-coule-fume-bronze-fonce-transparent-194.html;https://www.plexi-cindar.com/plexiglas-teinte/391-pmma-coule-fume-bronze-fonce-transparent-altuglas-100-16032.html;301;1;1
41;;pmma-coule-transparent-incolore-13/pmma-coule-incolore-plexiglas-6-41.html;https://www.plexi-cindar.com/plexiglas/425-pmma-coule-incolore-plexiglas-.html;301;1;1
42;;lire/matieres-2.html;https://www.plexi-cindar.com/content/20-matieres;301;1;1
43;;pmma-coule-dual-satin-36/pmma-coule-incolore-dual-satin-376.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
44;;pmma-diffusant-led-blanc-et-colore-46/pmma-coule-led-bleu-fonce-altuglas-579.html;https://www.plexi-cindar.com/plexiglas-de-couleur/410-pmma-coule-led-bleu-fonce-altuglas-121-23159.html;301;1;1
45;;pmma-coule-diffusant-colore-33/pmma-coule-bleu-diffusant-altuglas-196.html;https://www.plexi-cindar.com/plexiglas-blanc/393-pmma-coule-bleu-diffusant-altuglas-100-23000.html;301;1;1
46;;pvc-expanse-4/pvc-expanse-blanc-10-mm-prix-au-150.html;https://www.plexi-cindar.com/pvc-expanse/519-pvc-expanse-blanc-2mm.html;301;1;1
47;;achat/?tri=nom_fr&sort=asc&page=12;https://www.plexi-cindar.com/;301;1;1
48;;achat/cat-colles-entretien-accessoires-28.html?tri=nom_fr&sort=asc;https://www.plexi-cindar.com/accessoires/704-colle-acrifix-192.html;301;1;1
49;;echantillons-32/echantillon-pmma-incolore-coule-384.html;"https://www.plexi-cindar.com/11-plexiglas-transparent ";301;1;1
50;;achat/?tri=prix&sort=desc&page=4;https://www.plexi-cindar.com/;301;1;1
51;;pmma-diffusant-led-blanc-et-colore-46/pmma-coule-led-rose-altuglas-121-576.html;https://www.plexi-cindar.com/plexiglas-de-couleur/408-pmma-coule-led-rose-altuglas-121-22139.html;301;1;1
52;;pmma-coule-fluo-transparent-34/pmma-coule-orange-fonce-fluo-transparent-287.html;https://www.plexi-cindar.com/plexiglas-teinte/401-pmma-coule-orange-fonce-fluo-transparent-setacryl-1134.html;301;1;1
53;;echantillons-32/echantillon-noir-3mm-altuglas-10148000-265.html;https://www.plexi-cindar.com/plexiglas-noir/470-pmma-coule-noir-opaque-altuglas-101-48000-3-mm.html;301;1;1
54;;achat/cat-pmma-coule-fluo-transparent-34.html;https://www.plexi-cindar.com/12-plexiglas-teinte;301;1;1
55;;pupitres-plexiglas-30/pupitre-pmma-incolore-37.html;https://www.plexi-cindar.com/51-pupitres;301;1;1
56;;pmma-coule-dual-satin-36/pmma-coule-blanc-dual-satin-altuglas-392.html;https://www.plexi-cindar.com/13-plexiglas-blanc-opale;301;1;1
57;;pmma-coule-diffusant-translucide-14/pmma-coule-blanc-diffusant-moyen-59.html;https://www.plexi-cindar.com/plexiglas/366-pmma-coule-blanc-diffusant-moyen-altuglas.html;301;1;1
58;;pmma-coule-diffusant-colore-33/pmma-coule-ivoire-altuglas-100-573.html;https://www.plexi-cindar.com/plexiglas-blanc/539-pmma-coule-ivoire-altuglas-100-21013-3mm.html;301;1;1
